"","book_id","literariness_read","author","title","genre","avg_sentence_length","sentence_length_variance"
"67",67,5.49577464788732,"Allende, Isabel","Het negende schrift van Maya","Fiction",21.0016,13.5205
"68",68,5.71598414795244,"Lewinsky, Charles","Het lot van de familie Meijer","Fiction",16.0389,13.1155
"69",69,3.46037099494098,"Collins, Suzanne","De hongerspelen","Other",13.0005,8.4688
"70",70,4.02651515151515,"Vermeer, Suzanne","Zomertijd","Suspense",10.3019,5.873
"71",71,4.26398210290828,"Watson, S.J.","Voor ik ga slapen","Suspense",10.1193,7.6176
"72",72,6.15079365079365,"Franzen, Jonathan","Vrijheid","Fiction",18.0556,14.6858
"73",73,5.30343007915567,"Coelho, Paulo","Aleph","Fiction",14.755,10.1629
"74",74,2.5,"Mansell, Jill","Versier me dan","Romantic",10.8628,8.2817
"75",75,4.06292134831461,"Spijker, Rita","Tussen zussen","Fiction",9.4541,5.6147
"76",76,4.38908450704225,"Sedaris, David","Van je familie moet je het hebben","Other",16.7228,11.3122
"77",77,6.15855855855856,"Grunberg, Arnon","Huid en haar","Fiction",10.3095,7.729
"78",78,4.10191082802548,"Newman, Ruth","Schaduwkant","Suspense",13.3256,9.2412
"79",79,3.81276595744681,"Vermeer, Suzanne","De vlucht","Suspense",11.2865,6.4275
"80",80,2.69886363636364,"Mansell, Jill","De smaak te pakken","Romantic",10.2585,7.5278
"81",81,3.97777777777778,"Kepler, Lars","Hypnose","Suspense",12.6407,8.357
"82",82,4.89117647058824,"Rosnay, Tatiana de","Het huis waar jij van hield","Fiction",13.2506,8.3679
"83",83,2.73626373626374,"Middelbeek, Mariette","Single en sexy","Romantic",10.377,7.0704
"84",84,4.02290076335878,"Gerritsen, Tess","Het stille meisje","Suspense",11.8908,8.0636
"85",85,4.13559322033898,"Kepler, Lars","Contract","Suspense",14.8991,10.007
"86",86,4.02892561983471,"Slaughter, Karin","Ongezien","Suspense",12.6303,9.2703
"87",87,3.85284280936455,"Gerritsen, Tess","Sneeuwval","Suspense",11.767,8.0121
"88",88,4.26571428571429,"Kepler, Lars","Getuige","Suspense",14.1779,8.978
"89",89,3.35111111111111,"Vermeer, Suzanne","Bon Bini beach","Suspense",11.1954,7.3761
"90",90,5.87677304964539,"Giordano, Paolo","De eenzaamheid van de priemgetallen","Fiction",14.9583,9.8903
"91",91,5.86238532110092,"Lewinsky, Charles","De verborgen geschiedenis van Courtillon","Fiction",18.5231,15.0426
"92",92,5.86124401913876,"Moor, Marente de","De Nederlandse maagd","Fiction",12.4148,8.4884
