"","age.resp","books.per.year"
"456",25,20
"457",31,4
"458",24,30
"459",45,55
"460",66,40
"461",47,60
"462",57,12
"463",77,24
"464",64,10
"465",58,50
"466",68,20
"467",28,30
"468",49,15
"469",62,60
"470",20,25
"471",63,20
"472",59,70
"473",25,20
"474",76,20
"475",26,24
"476",63,30
"477",61,40
"478",45,75
"479",56,20
"480",57,15
"481",76,45
"482",53,40
"483",45,26
"484",24,50
"485",53,25
"486",60,55
"487",60,20
"488",31,40
"489",47,7
"490",31,15
"491",66,12
"492",48,30
"493",35,12
"494",32,15
"495",64,45
"496",48,80
"497",17,30
"498",61,20
"499",46,25
"500",60,20
"501",53,20
"502",57,20
"503",68,20
"504",63,12
"505",33,44
"506",36,10
"507",73,40
"508",65,200
"509",59,100
"510",64,20
"511",52,8
"512",61,20
"513",21,10
"514",63,20
"515",51,5
"516",71,40
"517",58,50
"518",32,12
"519",78,50
"520",38,200
"521",66,40
"522",46,50
"523",67,10
"524",62,30
"525",47,10
"526",43,20
"527",62,16
"528",64,60
"529",46,11
"530",63,25
"531",75,15
"532",68,40
"533",37,20
"534",41,10
"535",21,15
"536",47,15
"537",20,8
"538",54,30
"539",64,40
"540",55,20
"541",72,15
"542",28,50
"543",67,20
"544",68,100
"545",76,40
"546",55,6
"547",52,15
"548",65,15
"549",35,3
"550",50,25
"551",69,45
"552",54,40
"553",63,20
"554",69,50
"555",81,10
"556",49,25
"557",58,40
"558",36,75
"559",56,50
"560",60,4
"561",54,40
"562",56,30
"563",66,30
"564",20,52
"565",73,40
"566",58,12
"567",62,100
"568",49,10
"569",60,25
"570",67,40
"571",55,50
"572",58,10
"573",68,120
"574",54,40
"575",29,70
"576",24,15
"577",67,50
"578",41,14
"579",63,50
"580",68,98
"581",51,10
"582",70,40
"583",56,15
"584",74,8
"585",58,60
"586",37,25
"587",69,50
"588",59,30
"589",22,12
"590",66,30
"591",52,30
"592",69,10
"593",40,60
"594",74,10
"595",67,66
"596",27,25
"597",63,70
"598",64,30
"599",72,40
"600",24,34
"601",51,4
"602",61,50
"603",61,12
"604",49,5
"605",62,60
"606",57,100
"607",63,25
"608",89,15
"609",48,4
"610",22,30
"611",41,50
"612",66,10
"613",64,20
"614",62,15
"615",49,25
"616",39,10
"617",68,100
"618",51,20
"619",24,9
"620",25,6
"621",70,25
"622",58,40
"623",61,10
"624",66,50
"625",64,50
"626",60,15
"627",70,60
"628",81,50
"629",57,40
"630",55,20
"631",41,10
"632",25,20
"633",51,40
"634",58,30
"635",67,15
"636",48,12
"637",52,25
"638",30,30
"639",64,150
"640",71,40
"641",32,4
"642",71,150
"643",65,100
"644",31,52
"645",27,14
"646",66,24
"647",58,30
"648",68,35
"649",25,15
"650",53,10
"651",55,25
"652",49,30
"653",36,30
"654",69,50
"655",68,100
"656",61,12
"657",51,18
"658",58,30
"659",51,90
"660",34,30
"661",59,20
"662",34,20
"663",64,20
"664",27,20
"665",53,20
"666",47,20
"667",61,20
"668",30,15
"669",52,12
"670",73,20
"671",57,35
"672",40,30
"673",49,40
"674",25,15
"675",50,20
"676",50,50
"677",57,150
"678",48,2
"679",44,8
"680",33,15
"681",57,20
"682",66,160
"683",38,35
"684",58,25
"685",24,5
"686",68,7
"687",63,10
"688",67,40
"689",43,40
"690",64,25
"691",48,100
"692",50,40
"693",67,60
"694",47,50
"695",57,40
"696",24,40
"697",30,20
"698",54,20
"699",61,12
"700",25,15
"701",57,15
"702",69,25
"703",72,30
"704",22,15
"705",60,12
"706",65,50
"707",33,52
"708",62,15
"709",72,70
"710",41,3
"711",59,10
"712",71,35
"713",51,30
"714",60,20
"715",42,8
"716",70,90
"717",65,60
"718",66,15
"719",71,75
"720",38,30
"721",64,5
"722",54,30
"723",75,20
"724",38,40
"725",40,9
"726",56,25
"727",64,26
"728",29,20
"729",51,10
"730",67,50
"731",25,10
"732",43,25
"733",46,25
"734",58,35
"735",65,6
"736",56,52
"737",44,50
"738",64,35
"739",51,75
"740",36,8
"741",30,6
"742",56,20
"743",53,25
"744",52,26
"745",25,30
"746",63,20
"747",66,25
"748",69,50
"749",39,25
"750",29,20
"751",71,15
"752",61,10
"753",37,50
"754",67,25
"755",27,40
"756",17,20
"757",41,20
"758",52,100
"759",32,20
"760",86,10
"761",21,25
"762",80,8
"763",59,50
"764",47,3
"765",32,12
"766",61,25
"767",66,60
"768",65,40
"769",25,8
"770",61,2
"771",63,30
"772",51,30
"773",52,20
"774",65,50
"775",70,35
"776",25,17
"777",65,100
"778",64,30
"779",70,25
"780",29,12
"781",80,20
"782",71,8
"783",81,50
"784",65,20
"785",21,15
"786",66,10
