"","respondent_id","books.read"
"456",464,23
"457",465,52
"458",466,2
"459",467,73
"460",468,35
"461",469,19
"462",470,12
"463",471,51
"464",472,8
"465",473,21
"466",474,52
"467",475,3
"468",476,4
"469",477,37
"470",478,23
"471",479,57
"472",480,54
"473",481,16
"474",482,31
"475",483,50
"476",484,10
"477",485,19
"478",486,8
"479",487,65
"480",488,11
"481",489,1
"482",490,2
"483",491,11
"484",492,48
"485",493,8
"486",494,10
"487",495,36
"488",496,16
"489",497,39
"490",498,15
"491",499,12
"492",501,3
"493",502,61
"494",503,2
"495",504,17
"496",505,1
"497",506,21
"498",507,20
"499",508,34
"500",509,43
"501",510,35
"502",511,30
"503",512,42
"504",513,18
"505",514,15
"506",515,32
"507",516,18
"508",517,2
"509",518,12
"510",519,11
"511",520,55
"512",522,12
"513",523,47
"514",524,44
"515",525,61
"516",526,7
"517",527,3
"518",528,21
"519",529,58
"520",530,8
"521",531,19
"522",532,26
"523",533,41
"524",534,30
"525",535,33
"526",536,28
"527",537,13
"528",538,3
"529",539,57
"530",540,8
"531",541,9
"532",542,47
"533",545,29
"534",546,19
"535",547,14
"536",548,7
"537",549,28
"538",550,11
"539",551,75
"540",552,23
"541",553,8
"542",555,48
"543",556,66
"544",557,23
"545",558,5
"546",559,41
"547",560,7
"548",561,55
"549",562,13
"550",563,29
"551",564,48
"552",565,9
"553",566,9
"554",567,31
"555",568,11
"556",569,6
"557",570,53
"558",571,19
"559",572,7
"560",573,25
"561",574,74
"562",575,18
"563",576,4
"564",577,28
"565",578,26
"566",579,16
"567",580,54
"568",581,15
"569",582,1
"570",583,11
"571",584,12
"572",585,118
"573",586,17
"574",587,9
"575",588,29
"576",589,6
"577",590,73
"578",591,18
"579",592,18
"580",593,36
"581",594,8
"582",595,23
"583",596,35
"584",597,1
"585",598,27
"586",599,33
"587",600,32
"588",601,1
"589",602,19
"590",603,13
"591",604,26
"592",605,33
"593",606,1
"594",607,21
"595",608,25
"596",609,12
"597",610,88
"598",611,120
"599",612,37
"600",613,1
"601",614,6
"602",615,10
"603",616,65
"604",617,5
"605",618,32
"606",619,15
"607",620,54
"608",621,4
"609",622,57
"610",623,1
"611",624,7
"612",625,12
"613",626,20
"614",627,26
"615",628,1
"616",629,61
"617",630,54
"618",631,70
"619",632,48
"620",633,39
"621",634,10
"622",635,80
"623",636,12
"624",637,3
"625",638,1
"626",639,37
"627",640,50
"628",641,6
"629",642,60
"630",643,19
"631",644,55
"632",645,31
"633",646,12
"634",647,100
"635",648,71
"636",649,21
"637",650,10
"638",651,7
"639",652,8
"640",653,14
"641",654,11
"642",655,16
"643",656,4
"644",657,45
"645",658,20
"646",660,7
"647",661,12
"648",662,23
"649",663,26
"650",664,35
"651",665,15
"652",666,79
"653",667,12
"654",668,9
"655",669,15
"656",670,26
"657",671,18
"658",672,20
"659",673,29
"660",674,28
"661",675,17
"662",676,20
"663",678,19
"664",679,22
"665",680,2
"666",681,1
"667",682,81
"668",683,7
"669",684,1
"670",685,11
"671",686,66
"672",687,67
