"","Fiction","Other","Romantic","Suspense"
"304",11,1,0,38
"305",7,0,0,0
"306",5,4,0,1
"307",7,2,0,0
"308",8,2,0,4
"309",9,0,1,3
"310",20,2,0,1
"311",12,1,0,5
"312",30,1,0,5
"313",24,0,0,14
"314",3,0,0,0
"315",11,0,0,4
"316",8,6,2,9
"317",8,0,0,17
"318",18,0,0,14
"319",19,0,1,27
"320",16,4,1,15
"321",23,1,0,2
"322",17,0,0,5
"323",10,1,0,4
"325",24,6,1,3
"326",2,0,0,0
"327",33,2,0,4
"328",11,0,0,1
"329",6,0,1,2
"331",11,0,0,1
"332",18,2,0,19
"333",5,2,0,3
"334",10,2,0,3
"335",15,0,0,1
"336",9,0,7,1
"337",1,1,0,5
"338",18,1,1,15
"339",5,0,0,13
"340",16,0,0,2
"341",47,2,1,18
"342",32,6,0,8
"343",21,6,0,7
"345",27,3,2,28
"346",4,0,0,1
"347",14,0,1,7
"348",5,0,0,15
"349",9,0,1,2
"350",10,5,2,43
"351",29,2,0,10
"352",4,2,0,70
"353",0,0,0,9
"354",27,3,0,3
"355",30,2,0,27
"356",52,6,0,13
"357",24,4,0,0
"358",15,0,1,10
"359",25,3,1,30
"360",21,5,0,13
"361",24,1,0,0
"362",47,3,2,17
"363",20,1,0,3
"364",30,2,0,26
"365",25,0,0,2
"366",1,1,0,0
"367",1,0,0,0
"368",8,1,2,20
"369",6,0,0,1
"370",15,1,0,28
"371",13,1,0,0
"372",8,0,0,4
"373",16,3,0,0
"374",12,3,0,3
"375",6,1,0,51
"376",27,3,0,4
"377",24,0,0,0
"378",2,0,0,23
"379",3,0,0,39
"380",14,3,1,25
"381",14,3,0,9
"382",6,0,0,0
"383",3,2,7,6
"384",26,2,0,1
"385",19,2,0,7
"386",8,0,0,0
"387",24,1,0,7
"388",4,0,0,9
"389",7,4,2,5
"390",10,1,0,0
"391",19,1,0,4
"392",7,1,0,5
"393",6,7,7,32
"394",12,0,1,6
"395",5,0,0,0
"397",4,0,0,1
"398",10,0,0,2
"399",15,1,0,3
"400",0,0,0,20
"401",24,1,1,18
"403",18,1,0,2
"404",4,1,0,3
"405",14,0,0,1
"406",11,3,13,70
"407",5,0,0,1
"408",25,2,0,15
"410",2,2,0,0
"411",3,4,2,5
"412",10,1,0,3
"413",29,1,0,1
"414",1,4,0,0
"415",25,3,0,35
"416",17,1,0,9
"417",3,2,0,4
"418",1,5,6,33
"419",19,2,0,15
"420",9,1,0,1
"421",7,0,0,4
"422",16,2,0,10
"423",4,0,0,0
"424",9,1,1,0
"425",6,4,1,15
"426",2,0,0,0
"427",10,2,0,11
"428",10,0,0,2
"429",31,1,3,1
"430",29,3,0,0
"431",13,1,0,8
"432",4,1,0,3
"433",16,4,0,12
"434",14,1,0,9
"435",32,2,0,0
"436",0,0,0,3
"437",17,1,1,37
"438",32,2,0,18
"440",7,0,0,3
"441",24,1,1,8
"444",16,4,0,1
"445",5,0,0,0
"446",2,4,1,1
"447",13,1,0,3
"449",10,1,0,5
"450",20,0,0,1
"451",5,3,0,20
"452",16,2,0,0
"453",22,1,0,6
"454",12,1,0,0
"455",28,7,0,10
"456",5,4,0,6
"457",19,1,0,6
"458",10,1,0,0
"459",1,0,0,0
"460",4,0,0,0
"462",7,1,0,4
"463",14,1,0,9
"464",15,1,0,7
"465",42,3,0,7
"466",1,0,0,1
"467",32,1,0,40
"468",32,1,0,2
"469",18,1,0,0
"470",8,1,0,3
"471",38,1,1,11
"472",1,1,1,5
"473",17,1,0,3
"474",8,0,0,44
"475",2,1,0,0
"476",4,0,0,0
"477",3,3,3,28
"478",14,1,0,8
"479",11,1,0,45
"480",27,2,0,25
"481",10,2,1,3
"482",21,2,0,8
"483",44,2,0,4
"484",6,0,0,4
"485",8,2,0,9
"486",7,1,0,0
"487",33,2,22,8
"488",7,1,0,3
"490",0,2,0,0
"491",9,2,0,0
"492",14,4,0,30
"493",5,1,0,2
"494",8,0,0,2
"495",23,5,0,8
"496",15,0,0,1
"497",32,2,0,5
"498",9,0,0,6
"499",6,0,0,6
"501",2,1,0,0
"502",23,4,9,25
"503",0,0,0,2
"504",13,2,0,2
"505",1,0,0,0
"506",16,0,0,5
"507",17,1,0,2
"508",17,2,1,14
"509",24,4,0,15
"510",27,0,0,8
"511",24,3,0,3
