"","Fiction","Other","Romantic","Suspense"
"3617",4,6,2,1
"3618",18,5,9,34
"3619",18,0,0,2
"3620",9,1,0,30
"3621",5,0,0,4
"3622",14,0,0,2
"3623",18,8,0,9
"3624",11,0,2,2
"3625",5,2,1,7
"3626",8,0,0,0
"3627",8,1,0,0
"3628",10,2,2,6
"3629",7,0,0,4
"3630",13,2,0,0
"3631",12,2,0,6
"3632",4,5,1,17
"3633",6,2,0,2
"3634",11,1,0,1
"3635",21,1,0,9
"3636",8,0,0,0
"3637",19,4,1,4
"3638",33,1,0,2
"3639",20,0,0,7
"3640",24,0,0,4
"3641",35,1,0,8
"3642",24,1,0,2
"3643",12,1,2,0
"3644",3,0,0,0
"3645",13,0,0,0
"3646",2,1,0,0
"3647",2,0,0,1
"3648",6,0,0,1
"3649",5,2,0,1
"3650",2,1,0,17
"3651",17,3,0,3
"3652",13,3,0,13
"3653",1,0,0,3
"3654",21,1,2,5
"3657",10,1,0,13
"3658",10,2,5,36
"3659",1,1,0,0
"3660",19,8,8,108
"3661",4,5,4,23
"3662",3,0,0,37
"3663",16,1,0,5
"3664",0,4,0,1
"3665",5,1,0,3
"3666",8,0,0,0
"3667",17,1,0,0
"3668",22,2,0,13
"3669",19,2,0,0
"3670",6,5,1,30
"3671",12,2,3,4
"3672",16,1,0,20
"3673",11,0,0,0
"3674",14,0,1,0
"3675",22,3,0,24
"3676",6,0,0,0
"3677",1,0,0,1
"3678",43,1,0,7
"3679",7,2,15,56
"3680",24,2,2,3
"3681",47,2,0,10
"3682",28,3,0,10
"3683",13,0,0,1
"3684",18,3,0,11
"3685",13,1,0,4
"3686",11,3,10,23
"3687",19,2,0,34
"3688",10,0,0,1
"3689",40,2,0,30
"3690",1,3,0,0
"3691",16,1,1,13
"3692",4,0,0,0
"3693",16,5,0,8
"3694",18,2,0,2
"3695",8,0,0,7
"3696",17,0,0,1
"3697",30,1,0,8
"3698",11,0,0,4
"3699",1,1,0,7
"3700",6,2,0,2
"3701",4,4,0,6
"3702",13,0,0,0
"3703",28,4,1,6
"3704",4,0,0,13
"3705",30,2,0,6
"3706",3,2,0,0
"3707",14,1,0,5
"3708",2,1,1,7
"3709",17,6,1,3
"3710",22,1,0,59
"3711",6,0,0,0
"3712",14,2,0,10
"3713",18,1,0,0
"3714",22,1,0,1
"3715",11,1,0,5
"3716",7,0,0,0
"3717",20,1,0,0
"3718",1,0,0,0
"3719",22,5,0,11
"3721",9,2,0,2
"3722",3,0,0,0
"3723",1,0,0,0
"3724",3,1,0,0
"3725",11,1,0,12
"3726",15,1,0,3
"3727",24,0,0,5
"3728",35,8,0,1
"3729",25,2,0,1
"3730",6,0,0,0
"3731",21,2,0,0
"3732",25,2,0,18
"3734",1,0,0,2
"3735",6,1,0,16
"3736",10,3,2,3
"3737",49,4,6,59
"3738",16,3,5,14
"3739",3,0,0,0
"3741",25,7,20,26
"3742",16,1,0,5
"3743",0,1,0,7
"3744",8,0,0,2
"3745",11,2,1,11
"3746",11,2,0,6
"3747",36,3,7,42
"3748",9,2,0,0
"3749",9,0,0,2
"3750",8,1,0,15
"3752",12,1,0,6
"3753",13,3,0,0
"3754",4,4,0,37
"3756",4,1,0,0
"3757",51,1,1,0
"3758",26,2,0,2
"3759",21,0,0,5
"3760",15,0,0,0
"3761",13,1,0,2
"3762",1,0,0,15
"3763",16,1,0,49
"3764",5,1,0,0
"3765",17,2,0,1
"3766",3,0,0,0
"3767",3,0,0,5
"3768",35,4,0,0
"3769",31,0,2,43
"3770",8,1,0,0
"3771",22,1,0,0
"3772",5,1,0,13
"3773",1,1,0,0
"3774",30,0,0,2
"3775",14,2,0,2
"3776",17,0,0,10
"3777",38,0,0,3
"3778",2,0,0,2
"3779",0,0,0,5
"3780",29,1,0,13
"3781",20,1,0,39
"3782",31,2,0,5
"3783",13,0,0,2
"3784",8,2,0,5
"3785",13,3,0,5
"3786",1,0,0,0
"3787",6,1,0,6
"3788",6,1,0,10
"3789",13,1,1,15
"3790",6,2,0,1
"3791",10,0,0,15
"3792",13,1,0,2
"3793",13,1,0,1
"3794",3,2,2,28
"3795",9,4,0,51
"3797",34,1,3,10
"3798",10,3,0,9
"3799",15,1,0,0
"3800",35,2,0,29
"3801",4,1,0,2
"3802",8,0,0,1
"3803",13,1,0,8
"3804",37,1,0,14
"3805",0,0,0,1
"3806",5,3,1,13
"3807",27,3,0,5
"3808",16,2,0,5
"3809",9,2,0,4
"3810",12,2,0,3
"3811",15,1,0,0
"3812",63,4,0,24
"3813",15,0,0,3
"3814",18,0,0,3
"3815",37,1,0,6
"3816",19,2,0,1
"3817",44,2,2,49
"3818",36,1,0,2
"3820",6,1,0,0
"3821",52,4,0,25
"3822",20,1,0,27
"3823",1,0,0,5
"3824",8,3,0,15
"3825",4,0,0,0
"3826",14,2,0,4
"3827",14,2,1,7
"3828",17,1,0,32
"3829",40,4,0,12
"3830",1,3,0,36
"3831",7,0,0,3
"3832",5,2,0,6
"3833",40,2,0,0
"3835",12,1,0,0
"3836",1,0,0,1
"3837",2,0,0,0
"3838",27,0,0,2
"3839",9,0,0,1
"3840",24,2,1,13
"3841",1,0,0,0
"3842",17,0,0,45
"3844",0,1,0,0
"3845",4,1,0,23
"3846",48,1,2,43
"3847",33,2,0,4
"3848",27,2,2,15
"3849",5,0,0,5
"3850",16,5,1,17
"3851",2,1,0,0
"3852",10,0,0,20
"3853",0,0,0,5
"3854",39,1,0,37
"3855",28,2,1,37
"3856",8,0,0,2
"3857",28,2,6,54
"3858",22,2,0,16
"3859",21,0,0,19
"3860",20,2,0,27
"3861",3,0,0,0
"3862",5,1,0,4
"3863",8,1,0,0
"3864",16,4,5,15
"3865",0,1,0,0
"3866",36,4,0,5
"3867",10,0,0,18
"3868",3,2,0,21
"3869",8,1,0,1
"3870",34,2,5,48
"3871",8,1,0,0
"3872",13,1,4,0
"3873",5,0,8,2
"3874",4,0,0,0
"3875",2,1,0,3
"3876",42,1,0,11
"3877",12,1,2,13
"3878",18,0,1,3
"3880",9,0,1,17
"3881",26,4,0,6
"3882",25,1,0,36
"3883",16,1,2,34
"3884",6,1,0,0
"3885",10,1,0,0
"3886",4,0,0,6
"3887",0,0,0,1
"3888",14,2,0,19
"3889",7,0,0,0
"3890",17,1,2,5
"3891",28,0,0,1
"3893",5,2,0,15
"3894",0,2,0,2
"3895",7,1,0,5
"3896",2,0,0,3
"3897",20,0,0,9
"3898",54,5,2,47
"3899",7,1,0,35
"3900",34,3,0,8
"3901",6,3,0,27
"3902",20,1,0,0
"3903",5,2,0,7
"3904",6,1,4,19
"3906",20,2,0,26
"3907",24,1,0,11
"3908",26,2,0,27
"3909",6,0,0,3
"3910",1,0,0,0
"3911",28,2,0,15
"3912",0,2,0,8
"3913",32,2,0,36
"3914",8,0,0,5
"3915",2,0,1,1
"3916",12,0,0,1
"3917",23,3,0,0
"3918",25,4,2,31
"3919",8,1,0,0
"3920",16,0,0,0
"3921",26,0,0,2
"3922",8,6,9,20
"3923",23,0,0,4
"3925",2,0,0,11
"3926",14,1,0,3
"3927",6,6,1,3
"3928",25,4,0,0
"3929",11,2,0,0
"3930",22,1,0,23
"3931",10,1,0,1
"3932",2,4,4,8
"3933",6,4,0,1
"3934",18,3,1,5
"3935",6,1,2,6
"3936",17,4,6,67
"3937",35,1,3,7
"3938",2,0,0,0
"3939",19,3,0,12
"3940",4,1,0,3
"3941",16,0,0,2
"3942",23,1,0,25
"3943",23,1,3,5
"3944",25,0,0,1
"3945",3,0,0,0
"3946",7,1,0,3
"3947",4,1,0,3
"3948",4,1,0,0
"3949",3,0,0,2
"3950",13,1,0,5
"3952",4,1,0,107
"3953",18,0,0,5
"3955",10,3,1,10
"3956",12,1,0,9
"3957",15,0,0,0
"3958",38,1,1,22
"3959",15,0,0,8
"3960",27,9,11,46
"3961",12,1,0,8
"3962",11,0,0,0
"3963",16,7,0,5
"3964",21,7,5,33
"3965",18,1,0,0
"3966",13,2,0,4
"3967",15,1,0,7
"3968",63,7,0,59
"3969",16,1,0,10
"3970",30,0,0,1
"3971",33,3,2,37
"3972",0,0,0,8
"3973",9,4,0,1
"3974",5,0,0,2
"3975",7,1,0,3
"3976",3,1,0,0
"3977",4,3,0,7
"3978",33,1,0,2
"3980",15,2,0,15
"3981",0,0,0,3
"3982",1,1,0,2
"3983",33,0,0,0
"3984",32,4,0,34
"3985",0,1,0,0
"3986",20,1,0,23
"3987",33,0,0,5
"3988",10,0,0,0
"3989",22,0,0,36
"3990",10,1,0,2
"3992",23,1,3,3
"3993",12,1,0,0
"3994",0,1,0,0
"3995",5,4,0,48
"3996",16,0,0,3
"3997",4,7,0,5
"3998",10,0,0,3
"3999",20,1,0,3
"4001",9,1,0,13
"4002",12,2,0,1
"4003",15,0,3,1
"4004",19,2,0,3
"4005",46,2,0,39
"4006",11,2,0,1
"4007",3,2,0,0
"4008",6,0,0,3
"4009",9,2,0,0
"4010",1,0,0,0
"4011",5,0,0,3
"4012",0,0,0,8
"4013",5,0,0,2
"4014",30,2,0,1
"4015",49,7,9,94
"4016",4,2,0,3
"4017",14,1,0,3
"4018",6,0,0,10
"4019",22,2,0,20
"4020",20,1,0,3
"4021",12,2,0,0
"4022",10,1,0,1
"4023",7,0,0,0
"4024",10,0,0,0
"4025",55,2,0,6
"4026",5,2,0,3
"4027",24,2,0,8
"4028",1,2,0,10
"4029",0,1,0,0
"4030",36,4,0,26
"4031",11,1,0,6
"4032",35,2,0,3
"4033",5,2,0,11
"4034",8,2,12,27
"4035",24,1,0,2
"4036",21,1,0,11
"4037",20,1,0,6
"4039",15,0,0,0
"4040",8,0,1,9
"4041",34,1,0,5
"4042",0,1,0,0
"4043",1,1,0,4
"4044",17,1,0,0
"4045",13,1,0,10
"4046",15,4,1,46
"4047",4,0,0,6
"4048",7,2,2,6
"4049",5,0,1,6
"4050",36,3,0,0
"4051",2,1,1,0
"4052",24,1,0,10
"4053",34,5,0,2
"4054",12,2,0,6
"4055",8,2,1,0
"4056",13,0,0,2
"4057",70,4,0,7
"4058",5,1,8,9
"4059",21,1,0,13
"4060",28,1,6,40
"4061",17,0,0,7
"4062",11,0,0,6
"4063",30,3,0,7
"4064",0,1,0,2
"4065",3,2,4,6
"4066",27,1,0,2
"4067",22,6,9,7
"4068",24,0,4,32
"4071",7,1,3,49
"4072",2,1,0,10
"4073",16,0,0,17
"4074",19,1,0,0
"4075",4,0,0,33
"4076",38,3,0,3
"4077",27,1,0,3
"4078",14,4,0,4
"4079",6,1,0,1
"4080",39,0,2,11
"4081",12,0,0,1
"4082",18,1,0,4
"4083",3,0,4,5
"4084",7,6,0,4
"4085",37,2,6,18
"4086",3,0,0,0
"4087",36,3,1,1
"4088",32,2,4,25
"4089",10,0,0,0
"4090",10,1,0,4
"4091",0,2,0,1
"4092",32,0,1,14
"4093",5,1,0,0
"4094",4,1,0,0
"4095",33,1,0,16
"4096",25,1,1,14
"4097",18,1,0,0
"4099",0,0,1,0
"4100",10,3,1,34
"4101",11,1,0,5
"4102",5,0,0,0
"4103",3,0,0,3
"4104",3,5,1,2
"4105",40,2,2,6
"4106",29,2,0,10
"4107",14,1,0,10
"4108",10,0,0,28
"4109",1,3,9,2
"4110",6,4,0,0
"4111",2,0,0,0
"4113",2,0,0,0
"4114",6,1,0,4
"4115",6,0,0,0
"4116",40,2,5,39
"4117",32,2,0,1
"4118",23,2,0,0
"4119",28,1,2,10
"4120",8,0,0,1
"4121",18,4,0,3
"4122",36,6,15,94
"4123",16,0,0,30
"4124",10,2,0,0
"4125",12,1,0,0
"4126",41,4,0,11
"4127",2,0,0,2
"4128",11,0,3,21
"4130",12,1,0,0
"4131",2,4,0,16
"4132",0,0,0,3
"4134",17,6,12,58
"4136",3,0,0,2
"4138",27,2,0,29
"4139",5,1,0,0
"4140",19,4,0,12
"4141",2,0,0,3
"4142",7,2,0,5
"4143",18,4,0,10
"4144",19,0,0,19
"4145",1,5,11,24
"4146",24,1,6,43
"4147",3,4,0,14
"4148",10,1,0,0
"4149",6,0,0,0
"4150",7,0,0,38
"4151",3,0,0,4
"4152",8,0,1,3
"4153",47,0,0,11
"4154",20,3,1,5
"4155",17,4,0,2
"4156",10,1,0,3
"4157",15,1,2,5
"4158",8,1,0,1
"4159",2,6,1,0
"4160",1,0,0,0
"4161",11,0,0,1
"4162",16,3,1,67
"4163",36,2,0,0
"4164",21,2,0,2
"4165",11,0,1,18
"4166",20,2,0,9
"4167",12,0,0,1
"4168",16,0,0,8
"4169",0,4,0,0
"4170",5,3,0,7
"4171",10,0,0,4
"4172",9,0,0,37
"4173",16,1,0,60
"4174",42,2,4,10
"4175",17,2,0,0
"4177",3,4,3,2
"4178",15,1,0,3
"4179",20,4,1,18
"4180",25,0,0,44
"4182",9,0,1,13
"4183",31,4,0,18
"4184",13,0,0,2
"4185",44,4,2,5
"4186",6,0,0,0
"4187",16,3,0,13
"4188",22,0,14,6
"4189",73,7,0,39
"4190",7,1,0,2
"4191",1,0,0,3
"4193",2,4,0,5
"4194",31,5,2,96
"4195",13,0,0,14
"4196",35,5,14,4
"4197",0,1,0,1
"4199",15,0,0,1
"4200",6,2,0,24
"4201",14,0,0,0
"4202",6,9,0,18
"4203",1,0,0,0
"4204",5,1,0,1
"4205",2,1,0,1
"4206",7,3,0,10
"4207",6,0,0,3
"4208",12,1,0,8
"4209",2,0,0,1
"4210",10,0,0,0
"4211",51,3,2,5
"4212",3,0,0,3
"4213",25,2,0,10
"4214",37,1,0,11
"4215",11,2,10,35
"4216",20,1,0,13
"4217",4,1,0,1
"4218",16,2,3,11
"4219",5,0,0,0
"4220",23,0,1,49
"4221",1,0,0,1
"4224",30,2,0,0
"4225",14,0,0,0
"4227",4,0,0,0
"4228",27,1,0,0
"4229",24,0,0,6
"4230",10,1,0,1
"4231",33,3,0,6
"4232",16,0,0,2
"4233",16,0,0,2
"4234",0,1,0,1
"4235",41,3,0,13
"4236",1,2,0,1
"4237",8,0,0,0
"4238",25,3,1,46
"4239",6,3,0,31
"4240",7,0,0,0
"4241",33,2,0,1
"4242",12,0,3,34
"4243",19,3,0,8
"4245",7,0,0,6
"4246",16,2,0,1
"4247",27,1,0,21
"4248",30,3,0,6
"4249",31,0,0,6
"4250",51,5,1,28
"4251",20,1,0,7
"4252",5,1,0,0
"4253",4,0,0,0
"4254",32,7,0,23
"4255",13,1,0,1
"4256",25,2,1,0
"4257",37,2,0,0
"4258",14,1,0,2
"4259",28,2,0,2
"4260",4,1,0,0
"4261",2,0,2,13
"4262",22,2,0,5
"4263",9,1,0,4
"4265",3,2,0,1
"4266",3,1,0,2
"4267",8,2,0,5
"4268",3,0,0,1
"4269",5,0,0,2
"4270",14,0,0,3
"4272",16,0,0,0
"4273",5,1,0,1
"4274",50,0,0,5
"4276",27,1,0,5
"4277",21,0,0,8
"4278",23,0,0,2
"4279",2,1,0,5
"4280",5,2,0,5
"4281",47,1,0,1
"4282",1,4,0,34
"4283",40,5,1,22
"4284",13,2,0,3
"4285",24,0,0,12
"4286",11,6,14,10
"4287",21,2,0,10
"4288",7,6,0,2
"4289",9,1,0,3
"4290",12,1,0,0
"4291",18,3,0,4
"4292",1,1,0,0
"4293",19,1,0,1
"4294",34,1,0,1
"4295",36,2,0,15
"4296",26,7,0,6
"4297",12,2,0,0
"4298",0,5,0,8
"4299",13,1,0,3
"4300",15,1,0,3
"4301",22,1,0,14
"4302",5,0,0,4
"4303",1,5,6,0
"4304",28,6,0,24
"4305",9,1,0,0
"4306",26,1,0,4
"4307",5,1,0,3
"4308",38,1,0,21
"4309",17,1,0,0
"4310",31,4,4,3
"4311",23,1,0,6
"4312",6,4,16,45
"4313",15,0,0,1
"4314",3,4,0,15
"4315",7,2,0,28
"4316",9,0,0,11
"4317",53,3,0,11
"4318",31,1,0,7
"4319",3,2,0,0
"4320",2,0,0,0
"4321",25,3,0,11
"4322",7,0,0,0
"4323",28,1,0,17
"4324",11,1,0,18
"4325",4,2,4,2
"4326",12,3,1,1
"4327",32,2,0,4
"4328",32,5,25,64
"4329",4,0,0,0
"4330",8,4,0,1
"4332",26,1,0,4
"4333",9,2,0,10
"4334",19,2,0,1
"4335",21,3,0,1
"4336",21,3,0,7
"4337",7,0,0,0
"4338",23,6,0,40
"4339",17,2,0,0
"4340",34,1,0,16
"4341",19,0,0,17
"4342",6,1,1,58
"4343",23,2,0,22
"4344",26,0,0,7
"4345",42,0,0,9
"4346",13,2,13,1
"4347",15,3,0,2
"4348",0,1,0,0
"4349",1,2,0,18
"4350",3,1,0,1
"4352",14,0,2,26
"4353",34,1,3,34
"4354",21,3,1,9
"4355",12,0,0,0
"4356",61,5,1,54
"4357",30,1,0,7
"4358",22,6,0,86
"4359",9,2,0,0
"4360",11,0,0,5
"4361",2,1,0,0
"4362",44,1,0,15
"4363",26,3,1,3
"4364",20,2,1,64
"4365",34,2,0,12
"4366",1,5,0,4
"4368",38,2,0,1
"4369",23,1,0,23
"4370",32,2,0,9
"4371",4,0,0,0
"4372",9,3,0,2
"4373",7,0,0,5
"4374",10,0,0,0
"4375",25,5,0,4
"4376",13,0,3,1
"4377",35,2,0,1
"4378",17,0,0,0
"4379",22,2,16,40
"4380",10,0,0,9
"4382",19,0,1,5
"4383",13,1,0,0
"4384",76,2,0,3
"4385",23,1,1,6
"4386",5,0,0,0
"4387",36,3,0,10
"4388",2,1,0,0
"4389",16,0,0,0
"4390",5,0,0,3
"4391",11,2,0,20
"4392",12,0,1,0
"4393",29,3,0,20
"4394",0,0,0,1
"4395",19,0,1,9
"4396",1,1,0,1
"4397",26,5,0,6
"4398",1,3,0,21
"4399",10,1,0,0
"4400",9,1,0,3
"4401",14,1,0,5
"4402",27,0,0,4
"4403",11,0,0,9
"4404",2,1,0,0
"4405",25,1,0,4
"4406",13,3,0,2
"4407",19,1,2,7
"4408",28,0,0,54
"4409",10,6,7,16
"4411",23,1,0,6
"4412",4,2,0,1
"4413",3,1,0,0
"4414",23,1,0,1
"4415",33,2,0,36
"4416",1,0,0,0
"4417",29,5,0,26
"4418",20,1,0,1
"4419",22,3,0,38
"4420",6,1,0,0
"4421",24,2,0,2
"4422",15,1,1,2
"4423",31,4,0,0
"4424",25,1,8,8
"4425",10,1,1,2
"4426",2,0,0,0
"4427",28,4,0,9
"4428",9,1,0,7
"4429",18,0,0,1
"4430",37,2,0,2
"4431",7,1,0,5
"4432",34,3,1,19
"4433",24,3,0,13
"4434",7,5,14,26
"4435",20,2,0,1
"4436",39,3,0,9
"4438",3,1,0,1
"4439",7,0,0,0
"4440",18,1,0,2
"4441",20,2,0,6
"4442",36,0,0,28
"4443",11,0,0,0
"4444",18,3,0,0
"4445",19,8,0,12
"4446",9,1,1,4
"4447",2,0,0,2
"4448",20,2,0,8
"4449",9,4,0,3
"4450",17,1,0,15
"4451",11,1,0,11
"4452",22,0,0,0
"4453",4,0,0,0
"4454",0,0,0,9
"4455",3,0,0,0
"4456",2,1,0,0
"4457",28,4,0,40
"4458",4,1,0,0
"4459",10,1,1,9
"4460",2,7,0,0
"4461",8,1,0,3
"4462",4,0,0,0
"4463",8,4,1,25
"4464",32,2,0,10
"4465",14,1,0,27
"4466",3,4,0,8
"4467",22,1,0,4
"4468",12,2,0,0
"4469",5,0,0,1
"4470",7,1,0,3
"4471",3,1,1,5
"4472",34,2,0,1
"4473",13,0,0,1
"4474",40,5,2,30
"4475",18,0,0,1
"4476",11,3,0,8
"4477",5,1,1,0
"4478",6,1,0,2
"4479",38,2,0,9
"4480",3,0,0,1
"4481",31,0,0,35
"4482",48,4,0,4
"4483",14,0,0,1
"4484",4,0,0,3
"4485",8,1,0,6
"4486",4,7,9,19
"4487",15,1,0,3
"4488",19,1,0,26
"4489",0,4,0,1
"4490",25,1,0,2
"4491",48,1,0,32
"4492",2,0,4,11
"4493",4,1,0,2
"4494",1,0,0,0
"4495",9,2,0,3
"4496",2,0,0,0
"4497",37,2,0,1
"4498",25,0,0,9
"4499",24,1,3,14
"4500",3,1,0,0
"4501",20,0,0,0
"4502",11,1,0,0
"4503",20,3,2,14
"4504",19,2,0,3
"4505",9,3,1,21
"4506",7,0,0,14
"4507",15,1,0,3
"4508",26,1,0,6
"4509",39,5,2,36
"4511",12,0,5,1
"4512",26,5,0,5
"4513",8,1,0,11
"4514",3,0,0,0
"4515",3,3,0,0
"4516",6,0,0,0
"4517",0,1,0,0
"4518",11,3,0,2
"4519",8,1,6,53
"4520",6,1,0,21
"4521",16,0,0,7
"4522",17,5,0,20
"4523",14,1,0,0
"4524",14,1,0,4
"4525",3,3,0,0
"4526",56,3,0,2
"4527",9,1,0,9
"4528",19,1,0,3
"4529",0,5,1,2
"4530",1,1,0,0
"4531",13,7,0,15
"4532",10,2,0,15
"4533",29,3,5,9
"4535",9,2,0,4
"4536",2,4,0,4
"4537",16,2,0,2
"4539",6,0,0,2
"4540",30,0,0,1
"4541",10,0,1,3
"4542",2,0,0,1
"4543",35,4,0,3
"4544",33,2,0,18
"4545",32,3,0,4
"4546",15,1,0,1
"4547",1,0,1,1
"4548",1,1,0,0
"4549",4,7,0,10
"4550",2,1,0,0
"4551",7,1,0,0
"4552",1,1,0,2
"4553",27,4,1,16
"4554",17,0,0,4
"4555",6,2,0,0
"4558",7,1,0,7
"4559",16,3,0,1
"4560",5,3,0,0
"4561",7,0,0,1
"4562",19,0,0,16
"4563",21,2,0,16
"4564",29,4,0,6
"4565",11,1,0,41
"4566",19,0,0,5
"4567",14,0,0,1
"4568",8,3,0,3
"4569",10,0,0,0
"4570",1,0,13,11
"4571",17,2,2,7
"4572",13,0,0,0
"4573",4,3,0,5
"4574",28,3,0,9
"4575",23,0,0,16
"4577",46,6,1,35
"4578",17,3,0,0
"4579",52,0,0,49
"4580",1,2,0,5
"4581",6,1,0,1
"4582",39,6,0,14
"4583",17,6,0,13
"4584",19,2,0,1
"4585",12,2,0,8
"4586",34,1,0,9
"4587",34,2,0,1
"4588",11,1,0,11
"4589",38,4,0,20
"4590",31,5,0,8
"4591",27,0,0,1
"4592",5,2,9,15
"4593",7,1,0,0
"4594",33,1,4,23
"4595",12,0,1,19
"4596",3,1,2,0
"4597",9,1,0,2
"4598",29,2,0,17
"4599",16,2,0,0
"4600",15,2,0,19
"4601",13,3,1,5
"4602",20,3,4,10
"4603",11,1,0,0
"4604",14,0,0,11
"4605",40,2,0,2
"4606",15,0,7,0
"4607",7,3,0,12
"4608",20,2,0,0
"4609",9,1,0,12
"4610",13,1,1,4
"4611",4,0,1,23
"4612",1,0,0,6
"4613",6,1,0,3
"4614",3,1,0,0
"4615",19,1,0,2
"4616",3,1,0,2
"4617",15,2,0,1
"4619",0,0,0,11
"4620",19,1,0,0
"4621",0,0,0,2
"4622",36,1,0,1
"4623",30,5,1,56
"4624",24,2,4,80
"4625",13,2,0,15
"4626",1,0,0,0
"4627",24,1,0,5
"4628",27,0,0,1
"4629",8,0,0,0
"4630",11,3,0,12
"4631",2,1,0,0
"4632",29,1,0,3
"4633",19,1,1,32
"4634",6,0,0,0
"4635",8,1,0,0
"4636",12,1,0,4
"4637",10,1,1,13
"4638",23,3,0,1
"4639",0,1,0,0
"4640",32,0,0,80
"4641",30,5,2,20
"4642",3,4,0,3
"4643",25,7,2,10
"4644",2,1,0,0
"4645",37,2,5,60
"4646",34,1,0,6
"4647",6,0,2,33
"4648",12,1,0,0
"4649",2,0,0,0
"4651",2,1,0,17
"4652",4,0,0,1
"4653",18,3,0,11
"4654",20,3,0,6
"4655",13,0,0,14
"4656",7,0,1,9
"4657",7,1,0,0
"4658",11,0,0,0
"4659",6,1,0,0
"4660",2,0,0,0
"4661",12,1,0,0
"4662",4,0,0,1
"4663",9,5,0,18
"4664",14,1,0,0
"4666",8,0,0,0
"4667",41,1,3,9
"4668",18,4,8,78
"4669",5,1,4,3
"4670",11,2,0,0
"4671",24,2,0,1
"4672",20,0,0,4
"4673",21,2,2,7
"4674",10,5,0,34
"4675",34,4,1,20
"4676",28,0,0,2
"4677",28,1,0,19
"4678",2,0,0,0
"4679",18,2,1,1
"4680",1,0,0,0
"4681",25,2,0,24
"4682",2,2,0,5
"4684",11,0,0,1
"4685",24,2,0,0
"4686",29,2,0,8
"4687",16,3,3,37
"4688",4,0,0,4
"4689",18,1,0,0
"4690",6,0,0,1
"4691",7,0,0,1
"4692",21,2,0,7
"4693",43,1,0,12
"4694",32,1,0,0
"4695",11,6,1,38
"4696",5,1,0,2
"4697",10,3,0,7
"4698",9,0,0,0
"4699",23,0,2,41
"4700",29,2,0,2
"4701",0,0,0,8
"4702",24,6,0,7
"4703",7,1,0,0
"4704",28,2,0,4
"4705",13,0,0,3
"4706",8,0,0,0
"4707",21,0,0,3
"4708",2,1,2,16
"4709",13,0,0,10
"4710",6,2,0,0
"4711",12,0,0,0
"4712",20,1,0,6
"4713",11,2,0,0
"4714",4,0,0,8
"4715",8,2,0,6
"4716",7,4,0,4
"4717",37,4,4,13
"4718",12,1,0,0
"4719",4,1,0,0
"4720",1,5,2,17
"4721",39,3,0,4
"4722",9,1,0,0
"4723",2,0,0,1
"4724",13,1,0,1
"4725",34,1,0,28
"4726",20,2,0,0
"4727",61,6,22,6
"4728",10,3,7,7
"4729",23,3,1,11
"4730",25,2,0,4
"4731",8,0,0,5
"4732",10,2,0,1
"4733",2,3,0,0
"4734",25,2,0,6
"4735",0,0,0,1
"4736",38,2,0,22
"4738",2,1,0,1
"4739",21,1,0,16
"4740",13,1,0,0
"4741",6,2,0,13
"4742",52,3,0,9
"4743",13,1,0,9
"4744",28,5,10,43
"4745",12,2,0,2
"4746",20,5,0,13
"4747",24,0,0,8
"4748",7,1,0,19
"4749",5,4,2,54
"4750",9,0,1,16
"4751",18,5,0,4
"4752",10,0,0,6
"4753",11,0,0,3
"4754",26,2,0,5
"4755",11,0,0,4
"4756",14,2,0,13
"4758",20,5,1,13
"4759",5,1,0,4
"4760",27,1,0,7
"4761",22,0,0,0
"4762",12,1,0,1
"4763",1,1,0,0
"4764",17,1,0,1
"4765",19,0,0,5
"4766",12,0,0,8
"4767",1,1,0,2
"4768",0,0,0,4
"4769",1,0,0,0
"4770",10,0,0,1
"4771",4,0,0,0
"4772",22,4,0,17
"4773",15,0,0,7
"4774",11,1,0,2
"4775",1,0,0,1
"4776",15,3,13,37
"4777",36,2,0,14
"4778",7,1,0,0
"4779",5,0,0,4
"4780",40,3,0,13
"4781",16,3,0,0
"4782",3,0,0,1
"4783",22,2,1,4
"4784",45,0,7,15
"4785",5,1,0,1
"4786",12,4,0,24
"4787",16,2,29,19
"4788",20,1,0,4
"4789",5,0,0,18
"4790",9,0,0,6
"4791",7,0,0,6
"4792",7,1,0,0
"4793",9,7,14,23
"4794",32,0,0,1
"4795",22,0,0,14
"4796",12,0,1,39
"4797",2,1,0,4
"4798",22,3,0,3
"4799",11,0,0,0
"4800",24,1,0,6
"4801",24,1,1,47
"4802",20,2,0,10
"4804",1,1,0,1
"4805",1,0,0,18
"4806",0,0,0,2
"4807",33,3,1,24
"4808",10,0,0,7
"4809",11,0,0,17
"4810",11,0,0,7
"4811",3,4,0,0
"4812",48,2,1,20
"4813",11,4,0,11
"4814",3,0,0,0
"4815",5,0,0,0
"4816",0,1,0,0
"4817",8,2,21,6
"4818",17,2,0,6
"4819",8,0,0,0
"4820",27,3,0,1
"4821",28,1,1,13
"4822",31,3,0,9
"4823",11,0,0,2
"4824",2,4,0,1
"4825",57,1,0,43
"4826",47,3,0,18
"4827",14,4,0,9
"4828",17,2,0,2
"4829",23,1,0,18
"4830",4,1,0,0
"4831",15,0,0,1
"4832",0,2,1,1
"4833",31,4,0,14
"4834",14,2,1,21
"4835",0,4,0,0
"4836",4,0,0,0
"4837",21,0,0,15
"4838",3,0,1,12
"4839",48,4,0,49
