"","respondent.id","book.id"
"420",2292,2
"421",2293,9
"422",2295,1
"423",2297,2
"424",2303,1
"425",2309,1
"426",2311,25
"427",2314,1
"428",2315,13
"429",2325,2
"430",2327,4
"431",2330,8
"432",2338,1
"433",2343,9
"434",2349,1
"435",2358,5
"436",2366,6
"437",2375,1
"438",2386,1
"439",2387,2
"440",2401,11
"441",2414,1
"442",2423,1
"443",2424,1
"444",2431,1
"445",2435,5
"446",2438,2
"447",2445,1
"448",2448,1
"449",2449,2
"450",2459,1
"451",2469,4
"452",2470,1
"453",2471,2
"454",2475,4
"455",2479,10
"456",2481,5
"457",2483,1
"458",2487,5
"459",2509,2
"460",2511,2
"461",2517,3
"462",2528,19
"463",2532,1
"464",2537,10
"465",2538,2
"466",2547,1
"467",2551,1
"468",2552,1
"469",2555,1
"470",2558,9
"471",2570,1
"472",2586,3
"473",2587,3
"474",2589,1
"475",2590,2
"476",2598,1
"477",2599,1
"478",2601,5
"479",2603,1
"480",2607,1
"481",2611,1
"482",2613,1
"483",2617,1
"484",2619,5
"485",2627,1
"486",2629,5
"487",2632,2
"488",2640,1
"489",2646,7
"490",2647,1
"491",2655,6
"492",2664,1
"493",2667,6
"494",2668,5
"495",2685,1
"496",2686,2
"497",2700,4
"498",2703,1
"499",2704,6
"500",2705,2
"501",2706,1
"502",2713,3
"503",2714,1
"504",2722,1
"505",2724,9
"506",2727,3
"507",2728,1
"508",2729,2
"509",2735,1
"510",2736,1
"511",2752,1
"512",2759,7
"513",2766,8
"514",2767,2
"515",2768,4
"516",2769,6
"517",2772,1
"518",2773,1
"519",2775,2
"520",2776,19
"521",2777,2
"522",2781,2
"523",2783,3
"524",2788,1
"525",2801,4
"526",2817,1
"527",2819,5
"528",2821,1
"529",2824,1
"530",2825,2
"531",2833,1
"532",2846,1
"533",2848,3
"534",2855,6
"535",2859,1
"536",2861,1
"537",2866,1
"538",2869,1
"539",2877,1
"540",2882,3
"541",2884,2
"542",2895,5
"543",2919,1
"544",2923,3
"545",2927,2
"546",2951,1
"547",2972,1
"548",2976,3
"549",2982,18
"550",2983,1
"551",2990,13
"552",2998,1
"553",2999,5
"554",3002,5
"555",3008,4
"556",3010,1
"557",3015,2
"558",3018,9
"559",3026,1
"560",3029,1
"561",3038,3
"562",3040,3
"563",3043,3
"564",3076,6
"565",3093,3
"566",3100,3
"567",3101,3
"568",3104,1
"569",3118,4
"570",3131,1
"571",3133,2
"572",3134,2
"573",3138,1
"574",3143,2
"575",3145,2
"576",3157,2
"577",3158,1
"578",3161,10
"579",3163,7
"580",3167,2
"581",3168,5
"582",3171,9
"583",3173,2
"584",3181,17
"585",3195,2
"586",3204,1
"587",3213,2
"588",3221,3
"589",3231,4
"590",3233,1
"591",3234,16
"592",3241,1
"593",3246,3
"594",3250,5
"595",3260,3
"596",3268,1
"597",3289,4
"598",3296,1
"599",3299,3
"600",3300,2
"601",3309,1
"602",3313,1
"603",3316,4
"604",3318,3
"605",3322,1
"606",3326,4
"607",3330,2
"608",3334,1
"609",3336,1
"610",3342,2
"611",3355,7
"612",3359,1
"613",3362,1
"614",3366,2
"615",3373,1
"616",3380,1
"617",3384,2
"618",3388,2
"619",3395,1
"620",3396,3
"621",3399,3
"622",3401,6
"623",3421,2
"624",3425,2
"625",3426,11
"626",3442,15
"627",3448,2
"628",3459,1
"629",3471,1
"630",3474,1
"631",3482,1
"632",3492,5
"633",3493,1
"634",3494,2
"635",3496,1
"636",3498,1
"637",3501,1
"638",3502,1
"639",3504,10
"640",3510,25
"641",3512,1
"642",3517,1
"643",3528,7
"644",3533,1
"645",3537,1
"646",3549,1
"647",3552,5
"648",3556,3
"649",3565,1
"650",3566,2
"651",3580,6
"652",3585,1
"653",3586,1
"654",3591,1
"655",3606,7
"656",3614,15
"657",3616,7
"658",3617,2
"659",3618,9
"660",3624,2
"661",3625,1
"662",3628,2
"663",3632,1
"664",3637,1
"665",3643,2
"666",3654,2
"667",3658,3
"668",3660,1
"669",3661,4
"670",3671,3
"671",3674,1
"672",3679,3
"673",3680,2
"674",3686,9
"675",3691,1
"676",3708,1
"677",3709,1
"678",3736,2
"679",3737,5
"680",3738,5
"681",3741,6
"682",3745,1
"683",3747,5
"684",3757,1
"685",3769,2
"686",3789,1
"687",3794,1
"688",3797,3
"689",3806,1
"690",3817,1
"691",3827,1
"692",3840,1
"693",3846,2
"694",3848,2
"695",3850,1
"696",3855,1
"697",3857,3
"698",3864,5
"699",3870,4
"700",3872,4
"701",3873,4
"702",3877,2
"703",3878,1
"704",3883,1
"705",3890,2
"706",3898,2
"707",3904,4
"708",3915,1
"709",3918,2
"710",3922,8
"711",3927,1
"712",3932,4
"713",3934,1
"714",3935,2
"715",3936,4
"716",3937,3
"717",3943,3
"718",3955,1
"719",3958,1
"720",3960,4
"721",3964,4
"722",3971,2
"723",3992,3
"724",4003,3
"725",4015,9
"726",4034,9
"727",4040,1
"728",4046,1
"729",4048,2
"730",4049,1
"731",4055,1
"732",4058,8
"733",4060,1
"734",4065,4
"735",4067,7
"736",4068,3
"737",4071,2
"738",4080,1
"739",4083,4
"740",4085,6
"741",4087,1
"742",4088,3
"743",4092,1
"744",4096,1
"745",4099,1
"746",4100,1
"747",4104,1
"748",4105,2
"749",4109,9
"750",4116,2
"751",4119,2
"752",4122,4
"753",4128,3
"754",4134,12
"755",4145,11
"756",4146,3
"757",4152,1
"758",4154,1
"759",4157,2
"760",4159,1
"761",4162,1
"762",4165,1
"763",4174,4
"764",4177,3
"765",4179,1
"766",4182,1
"767",4185,2
"768",4188,5
"769",4194,1
"770",4196,14
"771",4211,2
"772",4215,6
"773",4218,3
"774",4220,1
"775",4238,1
"776",4242,3
"777",4250,1
"778",4256,1
"779",4261,2
"780",4283,1
"781",4286,11
"782",4303,5
"783",4310,4
"784",4312,5
"785",4325,4
"786",4326,1
"787",4328,20
"788",4342,1
"789",4346,13
"790",4352,1
"791",4353,2
"792",4354,1
"793",4356,1
"794",4363,1
"795",4364,1
"796",4376,3
"797",4379,6
"798",4382,1
"799",4385,1
"800",4392,1
"801",4395,1
"802",4407,2
"803",4409,2
"804",4422,1
"805",4424,8
"806",4425,1
"807",4432,1
"808",4434,14
"809",4446,1
"810",4459,1
"811",4463,1
"812",4471,1
"813",4474,2
"814",4477,1
"815",4486,6
"816",4492,4
"817",4499,3
"818",4503,2
"819",4509,2
"820",4511,5
"821",4519,4
"822",4529,1
"823",4533,5
"824",4541,1
"825",4547,1
"826",4553,1
"827",4570,12
"828",4571,2
"829",4577,1
"830",4592,5
"831",4594,4
"832",4595,1
"833",4596,2
"834",4601,1
"835",4602,4
"836",4606,7
"837",4610,1
"838",4611,1
"839",4623,1
"840",4624,1
"841",4633,1
"842",4637,1
"843",4641,2
"844",4643,1
"845",4645,4
"846",4647,2
"847",4656,1
"848",4667,3
"849",4668,5
"850",4669,4
"851",4673,2
"852",4679,1
"853",4687,3
"854",4695,1
"855",4708,2
"856",4717,4
"857",4720,2
"858",4727,15
"859",4728,7
"860",4729,1
"861",4744,5
"862",4749,1
"863",4750,1
"864",4758,1
"865",4776,4
"866",4783,1
"867",4784,7
"868",4787,16
"869",4793,11
"870",4796,1
"871",4801,1
"872",4807,1
"873",4812,1
"874",4817,7
"875",4821,1
"876",4832,1
"877",4834,1
"878",4838,1
"879",4841,3
"880",4843,1
"881",4844,5
"882",4849,6
"883",4868,5
"884",4869,1
"885",4871,1
"886",4883,1
"887",4888,3
"888",4895,1
"889",4897,1
"890",4899,2
"891",4931,3
"892",4933,1
"893",4936,4
"894",4938,12
"895",4944,1
"896",4946,5
"897",4953,1
"898",4960,1
"899",4961,1
"900",4968,2
"901",4969,1
"902",4972,1
"903",4973,7
"904",4982,1
"905",4983,1
"906",4991,3
"907",4995,1
"908",5000,1
"909",5004,6
"910",5013,3
"911",5017,1
"912",5021,1
"913",5023,5
"914",5026,4
"915",5037,1
"916",5045,2
"917",5052,4
"918",5056,1
"919",5057,4
"920",5059,1
"921",5063,10
"922",5064,1
"923",5073,5
"924",5077,5
"925",5079,2
"926",5088,1
"927",5091,1
"928",5097,1
"929",5101,1
"930",5106,1
"931",5109,8
"932",5112,1
"933",5114,2
"934",5117,2
"935",5118,1
"936",5119,7
"937",5120,2
"938",5122,2
"939",5129,1
"940",5138,3
"941",5142,6
"942",5146,1
"943",5147,5
"944",5154,1
"945",5158,2
"946",5167,6
"947",5168,1
"948",5176,3
"949",5177,1
"950",5182,6
"951",5185,2
"952",5189,5
"953",5191,1
"954",5203,1
"955",5205,2
"956",5216,1
"957",5221,1
"958",5223,1
"959",5227,11
"960",5230,5
"961",5231,1
"962",5239,2
"963",5240,7
"964",5241,1
"965",5246,1
"966",5254,2
"967",5255,1
"968",5257,1
"969",5260,2
"970",5266,1
"971",5294,2
"972",5299,1
"973",5307,1
"974",5308,9
"975",5321,1
"976",5327,6
"977",5328,2
"978",5335,1
"979",5337,1
"980",5352,1
"981",5363,12
"982",5366,2
"983",5367,8
"984",5377,1
"985",5386,2
"986",5390,3
"987",5392,2
"988",5394,1
"989",5404,1
"990",5407,1
"991",5416,3
"992",5417,1
"993",5419,3
"994",5424,1
"995",5433,5
"996",5436,2
"997",5439,11
"998",5446,1
"999",5451,1
"1000",5458,1
"1001",5460,1
"1002",5466,1
"1003",5473,2
"1004",5489,5
"1005",5491,1
"1006",5496,1
"1007",5502,1
"1008",5508,2
"1009",5511,2
"1010",5513,1
"1011",5519,6
"1012",5522,2
"1013",5524,1
"1014",5542,8
"1015",5543,1
"1016",5554,1
"1017",5555,1
"1018",5558,8
"1019",5560,2
"1020",5564,4
"1021",5566,4
"1022",5573,2
"1023",5580,1
"1024",5589,1
"1025",5590,2
"1026",5591,1
"1027",5596,2
"1028",5597,1
"1029",5598,1
"1030",5601,29
"1031",5605,1
"1032",5606,8
"1033",5607,1
"1034",5612,3
"1035",5618,4
"1036",5631,4
"1037",5633,3
"1038",5634,3
"1039",5639,5
"1040",5656,1
"1041",5662,7
"1042",5673,1
"1043",5675,1
"1044",5679,4
"1045",5681,3
"1046",5682,1
"1047",5686,2
"1048",5689,13
"1049",5696,1
"1050",5699,4
"1051",5700,3
"1052",5702,5
"1053",5706,4
"1054",5713,7
"1055",5718,3
"1056",5719,2
"1057",5727,1
"1058",5731,2
"1059",5734,4
"1060",5747,1
"1061",5749,8
"1062",5758,1
"1063",5760,1
"1064",5761,2
"1065",5767,3
"1066",5768,1
"1067",5779,5
"1068",5789,1
"1069",5794,8
"1070",5813,1
"1071",5832,11
"1072",5838,1
"1073",5841,2
"1074",5842,2
"1075",5848,7
"1076",5850,1
"1077",5862,1
"1078",5872,1
"1079",5879,1
"1080",5885,2
"1081",5892,12
"1082",5895,1
"1083",5900,19
"1084",5908,1
"1085",5910,5
"1086",5917,12
"1087",5920,4
"1088",5924,1
"1089",5926,3
"1090",5931,2
"1091",5935,1
"1092",5939,12
"1093",5959,2
"1094",5960,2
"1095",5966,3
"1096",5967,7
"1097",5972,1
"1098",5977,3
"1099",5982,1
"1100",5990,9
"1101",6008,1
"1102",6009,2
"1103",6010,5
"1104",6022,1
"1105",6024,5
"1106",6033,1
"1107",6039,1
"1108",6043,4
"1109",6049,17
"1110",6052,5
"1111",6063,5
"1112",6068,1
"1113",6074,1
"1114",6088,1
"1115",6089,1
"1116",6090,2
"1117",6093,2
"1118",6095,11
"1119",6100,1
"1120",6112,2
"1121",6115,4
"1122",6118,1
"1123",6119,4
"1124",6127,1
"1125",6129,1
"1126",6134,1
"1127",6135,1
"1128",6142,4
"1129",6145,2
"1130",6169,5
"1131",6176,1
"1132",6177,1
"1133",6184,1
"1134",6194,16
"1135",6195,4
"1136",6197,4
"1137",6203,11
"1138",6208,1
"1139",6211,1
"1140",6215,5
"1141",6230,1
"1142",6232,1
"1143",6234,1
"1144",6238,1
"1145",6243,1
"1146",6255,1
"1147",6256,2
"1148",6259,2
"1149",6275,1
"1150",6276,1
"1151",6284,1
"1152",6288,7
"1153",6299,7
"1154",6300,2
"1155",6303,15
"1156",6318,5
"1157",6323,2
"1158",6325,5
"1159",6326,3
"1160",6328,7
"1161",6332,4
"1162",6334,6
"1163",6336,2
"1164",6338,1
"1165",6344,2
"1166",6346,6
"1167",6353,1
"1168",6357,1
"1169",6362,5
"1170",6366,6
"1171",6369,2
"1172",6370,10
"1173",6372,10
"1174",6373,1
"1175",6388,3
"1176",6390,1
"1177",6397,3
"1178",6398,3
"1179",6401,1
"1180",6407,6
"1181",6418,1
"1182",6423,1
"1183",6440,5
"1184",6442,1
"1185",6451,3
"1186",6453,1
"1187",6459,1
"1188",6475,4
"1189",6477,1
"1190",6482,2
"1191",6496,3
"1192",6497,1
"1193",6502,17
"1194",6504,2
"1195",6508,2
"1196",6510,1
"1197",6514,1
"1198",6518,6
"1199",6524,3
"1200",6527,1
"1201",6529,1
"1202",6535,2
"1203",6536,2
"1204",6567,2
"1205",6570,6
"1206",6571,1
"1207",6576,1
"1208",6581,1
"1209",6599,4
"1210",6600,1
"1211",6602,3
"1212",6607,13
"1213",6629,2
"1214",6632,1
"1215",6638,1
"1216",6639,2
"1217",6641,2
"1218",6652,6
"1219",6655,3
"1220",6658,1
"1221",6659,1
"1222",6666,1
"1223",6669,5
"1224",6672,2
"1225",6674,2
"1226",6682,1
"1227",6688,1
"1228",6693,3
"1229",6701,1
"1230",6704,2
"1231",6711,1
"1232",6713,1
"1233",6717,5
"1234",6719,1
"1235",6732,1
"1236",6734,1
"1237",6761,11
"1238",6768,6
"1239",6786,2
"1240",6788,2
"1241",6805,1
"1242",6806,1
"1243",6810,10
"1244",6812,2
"1245",6814,1
"1246",6815,2
"1247",6822,1
"1248",6834,1
"1249",6836,1
"1250",6845,4
"1251",6847,8
"1252",6850,2
"1253",6856,5
"1254",6859,1
"1255",6870,3
"1256",6873,2
"1257",6875,3
"1258",6882,2
"1259",6889,2
"1260",6891,1
"1261",6903,8
"1262",6909,1
"1263",6920,1
"1264",6935,2
"1265",6946,6
"1266",6950,1
"1267",6954,2
"1268",6965,2
"1269",6968,1
"1270",6970,1
"1271",6971,1
"1272",6976,1
"1273",6980,1
"1274",6991,2
"1275",6998,7
"1276",7016,1
"1277",7031,1
"1278",7034,10
"1279",7039,12
"1280",7041,5
"1281",7042,1
"1282",7055,1
"1283",7061,1
"1284",7069,2
"1285",7070,4
"1286",7071,3
"1287",7080,1
"1288",7090,1
"1289",7094,2
"1290",7119,2
"1291",7120,3
"1292",7135,1
"1293",7137,2
"1294",7142,1
"1295",7144,1
"1296",7155,1
"1297",7156,5
"1298",7161,2
"1299",7165,1
"1300",7172,1
"1301",7173,2
"1302",7174,2
"1303",7175,13
"1304",7181,1
"1305",7183,7
"1306",7189,1
"1307",7198,1
"1308",7201,1
"1309",7206,3
"1310",7209,1
"1311",7213,3
"1312",7219,2
"1313",7230,1
"1314",7234,1
"1315",7236,3
"1316",7245,1
"1317",7246,1
"1318",7251,2
"1319",7255,1
"1320",7262,2
"1321",7269,2
"1322",7276,1
"1323",7287,1
"1324",7290,1
"1325",7291,13
"1326",7294,1
"1327",7297,5
"1328",7306,14
"1329",7317,1
"1330",7321,4
"1331",7322,2
"1332",7323,4
"1333",7324,1
"1334",7327,4
"1335",7329,1
"1336",7333,8
"1337",7346,5
"1338",7356,1
"1339",7362,3
"1340",7372,1
"1341",7377,16
"1342",7378,4
"1343",7380,1
"1344",7386,2
"1345",7390,1
"1346",7397,3
"1347",7402,1
"1348",7404,1
"1349",7405,2
"1350",7415,3
"1351",7416,1
"1352",7419,1
"1353",7434,1
"1354",7442,8
"1355",7443,2
"1356",7447,2
"1357",7448,1
"1358",7464,2
"1359",7466,1
"1360",7468,1
"1361",7481,1
"1362",7482,1
"1363",7487,2
"1364",7488,7
"1365",7491,4
"1366",7497,2
"1367",7498,1
"1368",7499,1
"1369",7502,1
"1370",7514,1
"1371",7534,1
"1372",7537,4
"1373",7541,1
"1374",7546,3
"1375",7548,6
"1376",7555,1
"1377",7562,3
"1378",7563,2
"1379",7564,1
"1380",7566,7
"1381",7567,1
"1382",7574,3
"1383",7580,1
"1384",7586,3
"1385",7592,3
"1386",7607,7
"1387",7609,2
"1388",7614,1
"1389",7617,3
"1390",7621,2
"1391",7623,1
"1392",7634,2
"1393",7637,3
"1394",7640,3
"1395",7643,2
"1396",7644,1
"1397",7646,3
"1398",7647,1
"1399",7652,13
"1400",7664,3
"1401",7678,2
"1402",7680,3
"1403",7693,3
"1404",7696,5
"1405",7720,2
"1406",7734,1
"1407",7747,7
"1408",7752,5
"1409",7753,3
"1410",7754,4
"1411",7760,1
"1412",7766,12
"1413",7775,1
"1414",7776,3
"1415",7786,1
"1416",7799,1
"1417",7803,1
"1418",7806,7
"1419",7825,1
"1420",7826,1
"1421",7831,1
"1422",7837,4
"1423",7842,2
"1424",7850,8
"1425",7856,1
"1426",7858,5
"1427",7859,10
"1428",7860,5
"1429",7874,1
"1430",7875,1
"1431",7877,2
"1432",7880,1
"1433",7881,2
"1434",7885,1
"1435",7892,1
"1436",7896,4
"1437",7900,1
"1438",7902,3
"1439",7903,1
"1440",7913,1
"1441",7916,1
"1442",7917,2
"1443",7920,1
"1444",7923,1
"1445",7928,1
"1446",7934,1
"1447",7935,3
"1448",7955,2
"1449",7959,1
"1450",7961,2
"1451",7972,5
"1452",7975,7
"1453",7978,3
"1454",7986,1
"1455",7989,1
"1456",7990,2
"1457",7993,9
"1458",8005,1
"1459",8013,1
"1460",8016,1
"1461",8052,2
"1462",8057,1
"1463",8058,1
"1464",8059,4
"1465",8069,2
"1466",8072,4
"1467",8078,1
"1468",8082,1
"1469",8087,5
"1470",8090,1
"1471",8101,1
"1472",8105,1
"1473",8113,4
"1474",8116,22
"1475",8117,5
"1476",8125,1
"1477",8130,3
"1478",8132,1
"1479",8139,3
"1480",8143,5
"1481",8171,1
"1482",8174,3
"1483",8181,1
"1484",8188,9
"1485",8194,1
"1486",8204,1
"1487",8209,1
"1488",8215,2
"1489",8216,1
"1490",8221,2
"1491",8222,1
"1492",8232,2
"1493",8234,1
"1494",8235,4
"1495",8238,1
"1496",8243,5
"1497",8249,3
"1498",8251,1
"1499",8253,9
"1500",8254,1
"1501",8258,3
"1502",8260,1
"1503",8265,4
"1504",8277,2
"1505",8287,5
"1506",8288,2
"1507",8289,1
"1508",8292,1
"1509",8297,3
"1510",8305,3
"1511",8323,1
"1512",8324,1
"1513",8325,7
"1514",8331,2
"1515",8334,13
"1516",8337,2
"1517",8338,1
"1518",8345,1
"1519",8346,6
"1520",8349,1
"1521",8371,2
"1522",8380,2
"1523",8388,3
"1524",8400,2
"1525",8403,8
"1526",8405,1
"1527",8409,1
"1528",8415,1
"1529",8423,2
"1530",8434,2
"1531",8435,2
"1532",8452,3
"1533",8462,1
"1534",8464,3
"1535",8478,3
"1536",8481,6
"1537",8486,1
"1538",8492,2
"1539",8500,1
"1540",8501,1
"1541",8503,3
"1542",8505,3
"1543",8510,1
"1544",8513,1
"1545",8522,1
"1546",8532,1
"1547",8535,1
"1548",8536,1
"1549",8542,1
"1550",8544,1
"1551",8547,1
"1552",8553,2
"1553",8556,1
"1554",8567,2
"1555",8573,3
"1556",8576,2
"1557",8577,1
"1558",8581,3
"1559",8593,12
"1560",8595,1
"1561",8611,3
"1562",8623,4
"1563",8630,1
"1564",8638,2
"1565",8641,3
"1566",8642,1
"1567",8649,3
"1568",8651,1
"1569",8652,7
"1570",8675,1
"1571",8677,1
"1572",8681,3
"1573",8683,5
"1574",8686,2
"1575",8688,1
"1576",8716,4
"1577",8720,2
"1578",8724,2
"1579",8728,1
"1580",8735,1
"1581",8737,1
"1582",8738,3
"1583",8739,1
"1584",8754,1
"1585",8755,13
"1586",8757,2
"1587",8759,1
"1588",8768,3
"1589",8769,1
"1590",8773,1
"1591",8775,1
"1592",8785,8
"1593",8786,2
"1594",8797,8
"1595",8798,12
"1596",8800,1
"1597",8812,1
"1598",8818,1
"1599",8822,5
"1600",8831,8
"1601",8839,1
"1602",8842,2
"1603",8848,1
"1604",8855,4
"1605",8858,1
"1606",8861,9
"1607",8862,1
"1608",8871,1
"1609",8872,2
"1610",8873,2
"1611",8877,10
"1612",8879,2
"1613",8880,4
"1614",8892,1
"1615",8893,2
"1616",8898,3
"1617",8900,1
"1618",8901,3
"1619",8930,3
"1620",8942,3
"1621",8947,1
"1622",8949,1
"1623",8952,8
"1624",8957,5
"1625",8969,1
"1626",8971,2
"1627",8974,1
"1628",8976,3
"1629",8983,1
"1630",8985,2
"1631",8996,3
"1632",9000,2
"1633",9005,1
"1634",9007,2
"1635",9012,1
"1636",9013,1
"1637",9015,2
"1638",9016,2
"1639",9033,2
"1640",9034,2
"1641",9062,1
"1642",9070,1
"1643",9076,2
"1644",9077,1
"1645",9079,1
"1646",9083,1
"1647",9090,1
"1648",9092,1
"1649",9093,5
"1650",9109,3
"1651",9119,2
"1652",9121,2
"1653",9125,1
"1654",9137,2
"1655",9146,1
"1656",9149,1
"1657",9150,1
"1658",9154,2
"1659",9159,2
"1660",9170,3
"1661",9171,5
"1662",9172,2
"1663",9178,1
"1664",9191,1
"1665",9195,2
"1666",9196,1
"1667",9201,2
"1668",9203,1
"1669",9219,1
"1670",9222,2
"1671",9223,1
"1672",9228,2
"1673",9230,2
"1674",9238,1
"1675",9244,1
"1676",9247,1
"1677",9250,2
"1678",9268,12
"1679",9270,1
"1680",9274,2
"1681",9275,6
"1682",9277,1
